Nama_Lokasi_Kecamatan,Nama_Lokasi_,Hari,Tanggal,Total_Positif_PMK,Total_Suspek_Hari_Ini,Total_Suspect_PMK,Total_Sembuh_PMK,Total_Sembuh_Hari_Ini,Total_Mati_PMK
Pedan, Ngaren,Selasa,5 Juli 2022,,,1,,,
Pedan, Beji,Selasa,5 Juli 2022,,,1,,,
Trucuk, Kalikebo,Selasa,5 Juli 2022,,,7,,,
Trucuk, Karangpakel,Selasa,5 Juli 2022,,,2,,,
Trucuk, Sumber,Selasa,5 Juli 2022,,,4,,,
Trucuk, Wanglu,Selasa,5 Juli 2022,,,9,,,
Trucuk, Bero,Selasa,5 Juli 2022,,,4,,,
Trucuk, Mandong,Selasa,5 Juli 2022,,,5,,,
Cawas, Karangasem,Selasa,5 Juli 2022,,,1,,,
Kalikotes, Kalikotes,Selasa,5 Juli 2022,,,2,,,
Kalikotes, Krajan,Selasa,5 Juli 2022,,,16,,,
Karangdowo, Sentono,Selasa,5 Juli 2022,,,1,,,
Ceper, Kujon,Selasa,5 Juli 2022,,,5,,,
Bayat, Wiro,Selasa,5 Juli 2022,,,57,,,
Klaten Tengah, Buntalan,Selasa,5 Juli 2022,,,7,,,
Ngawen, Tempursari,Rabu,6 Juli 2022,,,22,,7,
Ngawen, Candirejo,Rabu,6 Juli 2022,,,3,,3,
Ngawen, Senden,Rabu,6 Juli 2022,,,15,,15,
Ngawen, Manjungan,Rabu,6 Juli 2022,,,1,,,
Jatinom, Kayumas ,Rabu,6 Juli 2022,,,1,,,
Jatinom, Bengking ,Rabu,6 Juli 2022,,,35,,,
Jatinom, Randulanang ,Rabu,6 Juli 2022,,,6,,,
Jatinom, Beteng ,Rabu,6 Juli 2022,,,11,,,
Jatinom, Glagah,Rabu,6 Juli 2022,,,25,,,
Jatinom, Cawan,Rabu,6 Juli 2022,,,4,,4,
Jatinom, Tibayan,Rabu,6 Juli 2022,,,19,,,
Jatinom, Bandungan,Rabu,6 Juli 2022,,,46,,,
Jatinom, Temuireng,Rabu,6 Juli 2022,,,9,,8,
Jatinom, Pandeyan,Rabu,6 Juli 2022,,,2,,,
Jatinom, Krajan,Rabu,6 Juli 2022,,,5,,5,
Jatinom, Socokangsi,Rabu,6 Juli 2022,,,69,,7,
Jatinom, Puluhan,Rabu,6 Juli 2022,,,3,,,
Jatinom, Jemawan,Rabu,6 Juli 2022,,,15,,,
Jatinom, Mranggen,Rabu,6 Juli 2022,,,6,,,
Tulung, Tulung ,Rabu,6 Juli 2022,,,30,,2,
